Runner,Pos,Start-F12,F13,F14,F15,F16,Total,Last 4 F times,Last 4F%,FileName
Moveit Like Minnie,1,170.57,13.39,12.89,14.16,14.65,3m 45.67s,55.10,103.32%,Huntingdon_20231114_15:15
Liverpool Knight,2,170.72,13.27,13.10,14.33,15.12,3m 46.54s,55.82,102.38%,Huntingdon_20231114_15:15
Imperial Bede,3,170.86,13.50,13.02,14.58,15.17,3m 47.13s,56.27,101.84%,Huntingdon_20231114_15:15
Onemorefortheroad,4,170.54,13.42,12.99,14.74,15.82,3m 47.52s,56.98,100.74%,Huntingdon_20231114_15:15
Nayati,5,171.13,13.44,13.30,14.75,14.91,3m 47.53s,56.40,101.78%,Huntingdon_20231114_15:15
Coolnaugh Haze,6,171.18,13.34,13.11,14.74,15.34,3m 47.71s,56.53,101.63%,Huntingdon_20231114_15:15
Inca De Lafayette,PU,,,,,,,,,Huntingdon_20231114_15:15
