Runner,Pos,Start-F17,F18,F19,F20,F21,Total,Last 4 F times,Last 4F%,FileName
Apologise,1,251.00,13.89,13.34,14.38,14.32,5m 06.93s,55.93,105.80%,Huntingdon_20231114_12:20
State Legend,2,251.52,13.87,13.11,14.23,14.23,5m 06.965,55.44,106.73%,Huntingdon_20231114_12:20
Celtic Fortune,3,251.02,13.68,13.35,14.61,14.39,5m 07.05s,56.03,105.63%,Huntingdon_20231114_12:20
Furkash,4,250.95,14.09,13.45,14.58,14.65,5m 07.735,56.78,104.48%,Huntingdon_20231114_12:20
Sir Rock,5,250.55,14.03,13.40,14.66,15.41,5m 08.06s,57.51,103.25%,Huntingdon_20231114_12:20
Rafferty,6,250.58,14.03,13.39,15.24,16.52,5m 09.765,59.18,100.89%,Huntingdon_20231114_12:20
On Se Calme,7,250.90,14.51,14.25,16.65,17.61,5m 13.93s,63.03,96.01%,Huntingdon_20231114_12:20
Ipso Falco,8,253.34,14.88,14.59,16.24,18.31,5m 17.37s,63.03,95.55%,Huntingdon_20231114_12:20
Deja Rouge,PU,,,,,,,,,Huntingdon_20231114_12:20
