Runner,Pos,Start-F16,F17,F18,F19,F20,Total,Last 4 F times,Last 4F%,FileName
Regarde,1,250.28,13.74,13.61,14.19,14.01,5m 05.83s,55.55,110.38%,Huntingdon_20231114_14:40
Abingworth,2,250.39,13.80,13.61,14.70,13.94,5m 06.44s,56.05,109.62%,Huntingdon_20231114_14:40
Perryville,3,251.53,13.80,14.38,16.81,15.64,5m 12.15s,60.62,103.24%,Huntingdon_20231114_14:40
Erigmoor,4,251.49,13.82,14.69,17.03,15.45,5m 12.49s,61.00,102.71%,Huntingdon_20231114_14:40
Gladiatus,5,250.86,14.27,15.46,16.94,15.35,5m 12.88s,62.02,101.15%,Huntingdon_20231114_14:40
Carpe Diem,6,250.91,14.04,15.18,17.51,17.39,5m 15.04s,64.13,98.50%,Huntingdon_20231114_14:40
Onesteptwosteps,PU,,,,,,,,,Huntingdon_20231114_14:40
City Roller,PU,,,,,,,,,Huntingdon_20231114_14:40
