Runner,Pos,Start-F12,F13,F14,F15,F16,Total,Last 4 F times,Last 4F%,FileName
Goose Man,1,173.90,13.70,12.98,14.46,14.67,3m 49.72s,55.82,103.83%,Huntingdon_20231114_12:55
Gday Aussie,2,174.33,13.53,13.06,14.94,16.34,3m 52.19s,57.86,101.24%,Huntingdon_20231114_12:55
The Geordie Ginge,3,174.66,13.77,12.96,15.18,16.17,3m 52.74s,58.08,101.10%,Huntingdon_20231114_12:55
Laser Focus,4,174.64,13.94,13.14,15.44,16.35,3m 53.52s,58.88,100.07%,Huntingdon_20231114_12:55
Still Standing,5,174.99,13.53,13.39,15.48,16.84,3m 54.22s,59.23,99.76%,Huntingdon_20231114_12:55
Many Words,PU,,,,,,,,,Huntingdon_20231114_12:55
