Runner,Pos,Start-F10,F11,F12,F13,F14,Total,Last 4 F times,Last 4F%,FileName
Dameofthecotswolds,1,151.89,12.82,12.39,12.98,13.38,3m 23.45s,51.56,114.93%,Huntingdon_20231114_15:48
Love Tree,2,151.80,12.76,12.28,13.03,14.13,3m 24.01s,52.21,113.83%,Huntingdon_20231114_15:48
Simply Belle,3,151.87,12.90,12.72,13.56,13.93,3m 24.995,53.12,112.42%,Huntingdon_20231114_15:48
Starspangledsammy,4,152.16,12.78,13.02,13.22,14.02,3m 25.205,53.04,112.71%,Huntingdon_20231114_15:48
Caledonian Pearl,5,152.62,12.95,12.51,13.46,14.11,3m 25.65s,53.03,112.97%,Huntingdon_20231114_15:48
Alduni's Girl,6,152.72,13.42,13.46,13.49,13.65,3m 26.74s,54.02,111.47%,Huntingdon_20231114_15:48
Saved Lizzie,7,152.54,13.05,12.67,14.09,15.27,3m 27.625,55.08,109.79%,Huntingdon_20231114_15:48
Oceana Orange,8,152.18,12.99,13.57,14.64,15.32,3m 28.70s,56.52,107.56%,Huntingdon_20231114_15:48
May Dancer,9,152.86,14.30,14.03,14.83,16.63,3m 32.64s,59.78,103.61%,Huntingdon_20231114_15:48
