Runner,Pos,Start-F20,F21,F22,F23,F24,Total,Last 4 F times,Last 4F%,FileName
Crosspark,1,311.87,14.05,13.85,14.79,13.43,6m 07.99s,56.12,110.66%,Huntingdon_20231114_13:30
Special Acceptance,2,312.67,14.04,13.98,14.46,13.06,6m 08.22s,55.55,111.86%,Huntingdon_20231114_13:30
Fairway Freddy,3,312.40,13.87,13.96,15.01,14.33,6m 09.57s,57.17,109.07%,Huntingdon_20231114_13:30
Call Of The Loon,4,312.17,14.02,13.90,15.20,14.73,6m 10.03s,57.86,107.92%,Huntingdon_20231114_13:30
Innisfree Lad,5,313.29,14.08,14.62,15.79,14.96,6m 12.75s,59.46,105.78%,Huntingdon_20231114_13:30
Mr Mafia,6,312.33,14.59,15.76,18.59,19.38,6m 20.65s,68.32,94.02%,Huntingdon_20231114_13:30
Stylish Moment,PU,,,,,,,,,Huntingdon_20231114_13:30
